AgentKey,AgentType,Year,TransactionSides,TotalSalesVolume,GCI
103572206.0,REALTOR,2024,1,600000.0,16800.0
103572206.0,REALTOR,2025,4,2762900.0,81031.2
103598783.0,NON-REALTOR,2025,2,797025.0,23910.75
104413590.0,REALTOR,2024,3,1851000.0,52760.0
104413852.0,NON-REALTOR,2024,1,649900.0,18197.2
104466954.0,NON-REALTOR,2025,1,470000.0,13160.0
104520796.0,REALTOR,2024,2,1194900.0,34447.2
104520796.0,REALTOR,2025,1,178000.0,4984.0
105185460.0,REALTOR,2024,3,1622900.0,48687.0
105941583.0,REALTOR,2024,1,445000.0,12460.0
105941583.0,REALTOR,2025,4,2511000.0,74180.0
106304110.0,REALTOR,2025,1,610000.0,18300.0
106304574.0,NON-REALTOR,2024,2,1285000.0,38550.0
107673630.0,REALTOR,2024,4,2825000.0,83150.0
107881309.0,NON-REALTOR,2025,2,1080000.0,32400.0
108774728.0,NON-REALTOR,2024,1,570000.0,15960.0
109603130.0,NON-REALTOR,2024,1,360000.0,10800.0
109603534.0,REALTOR,2024,1,420000.0,11760.0
109603534.0,REALTOR,2025,3,1850000.0,54150.0
109605728.0,REALTOR,2025,1,711250.0,21337.5
109606045.0,REALTOR,2024,1,248000.0,7440.0
109606045.0,REALTOR,2025,3,1215000.0,35400.0
109608976.0,NON-REALTOR,2024,3,2404900.0,68237.2
109608976.0,NON-REALTOR,2025,1,660000.0,18480.0
111159244.0,REALTOR,2024,7,2627000.0,75820.0
111159244.0,REALTOR,2025,9,5693000.0,160384.0
111159246.0,NON-REALTOR,2024,1,320000.0,9600.0
111159246.0,NON-REALTOR,2025,1,575000.0,17250.0
112352626.0,NON-REALTOR,2024,3,1168000.0,35040.0
112352626.0,NON-REALTOR,2025,1,319500.0,9585.0
112353209.0,REALTOR,2024,1,585000.0,16380.0
112357335.0,REALTOR,2024,4,2154560.0,60987.68
112357335.0,REALTOR,2025,7,3563000.0,100934.0
112358682.0,NON-REALTOR,2024,2,893000.0,25004.0
112516725.0,REALTOR,2024,2,1399000.0,40470.0
112516725.0,REALTOR,2025,3,2819998.0,78959.944
112879492.0,REALTOR,2024,1,725000.0,20300.0
112881844.0,NON-REALTOR,2024,2,1100000.0,33000.0
113250379.0,REALTOR,2024,1,450000.0,13500.0
113251473.0,REALTOR,2024,2,3255000.0,94750.0
113251473.0,REALTOR,2025,1,1340000.0,37520.0
114811446.0,REALTOR,2024,6,5259899.0,153236.972
114811446.0,REALTOR,2025,5,3582750.0,100317.0
115178627.0,REALTOR,2024,5,3372000.0,97446.0
115178627.0,REALTOR,2025,8,5342650.0,151799.7
115541796.0,NON-REALTOR,2024,1,437400.0,12247.2
115542666.0,REALTOR,2024,1,411000.0,12330.0
116266392.0,NON-REALTOR,2024,2,1865000.0,53850.0
116266569.0,REALTOR,2024,1,530000.0,14840.0
116266569.0,REALTOR,2025,1,466500.0,13995.0
116267721.0,REALTOR,2024,3,1841350.0,51557.8
119206754.0,REALTOR,2024,2,1432000.0,42960.0
119206754.0,REALTOR,2025,1,795000.0,22260.0
120427956.0,REALTOR,2024,1,670000.0,18760.0
120427956.0,REALTOR,2025,1,638000.0,17864.0
120428290.0,REALTOR,2024,1,525000.0,14700.0
120428290.0,REALTOR,2025,3,1945000.0,57040.0
120428632.0,REALTOR,2025,1,521000.0,14588.0
120428777.0,REALTOR,2025,4,2539000.0,76170.0
120429660.0,REALTOR,2024,2,1947500.0,56855.0
120429660.0,REALTOR,2025,1,499000.0,14970.0
120796701.0,NON-REALTOR,2024,5,1604000.0,46976.0
120796701.0,NON-REALTOR,2025,1,220000.0,6160.0
122551257.0,REALTOR,2024,2,848000.0,24440.0
122552121.0,NON-REALTOR,2024,9,5368000.0,158196.0
122552121.0,NON-REALTOR,2025,1,836000.0,23408.0
122935288.0,REALTOR,2024,1,620000.0,18600.0
122935617.0,REALTOR,2024,2,1175000.0,34450.0
122935617.0,REALTOR,2025,1,450000.0,13500.0
123431337.0,REALTOR,2024,5,3470000.0,100870.0
123431509.0,REALTOR,2024,2,1450000.0,41770.0
123431509.0,REALTOR,2025,3,1569000.0,43932.0
123439628.0,REALTOR,2024,3,2108000.0,61722.0
123976211.0,REALTOR,2024,1,715000.0,20020.0
123981766.0,REALTOR,2024,2,1194000.0,33432.0
123981766.0,REALTOR,2025,1,945000.0,26460.0
124359700.0,REALTOR,2025,1,308000.0,8624.0
125597820.0,REALTOR,2025,1,1339000.0,40170.0
125598784.0,REALTOR,2024,4,3279900.0,93147.2
125598784.0,REALTOR,2025,4,2586199.0,73613.572
125606253.0,NON-REALTOR,2024,2,910000.0,27300.0
125606253.0,NON-REALTOR,2025,2,1020000.0,30010.0
125986822.0,REALTOR,2024,3,1129000.0,31612.0
125989394.0,REALTOR,2024,4,1438900.0,40289.2
125989394.0,REALTOR,2025,2,1060000.0,30450.0
126204585.0,REALTOR,2024,1,525000.0,14700.0
126208371.0,REALTOR,2024,1,640000.0,19200.0
126210147.0,REALTOR,2024,1,469900.0,13157.2
126210147.0,REALTOR,2025,5,1862300.0,55869.0
127045918.0,REALTOR,2024,1,1025000.0,30750.0
127269747.0,REALTOR,2024,2,1089000.0,30492.0
127269747.0,REALTOR,2025,2,2759400.0,82782.0
127279954.0,REALTOR,2025,1,544000.0,15232.0
127831181.0,REALTOR,2024,1,1300000.0,36400.0
129755453.0,REALTOR,2025,1,685750.0,19201.0
129755475.0,REALTOR,2025,1,260000.0,7800.0
129760521.0,REALTOR,2024,2,1819000.0,50932.0
130151232.0,REALTOR,2024,2,1268000.0,35504.0
130151232.0,REALTOR,2025,1,630000.0,17640.0
130152440.0,REALTOR,2024,7,6434000.0,191900.0
130152440.0,REALTOR,2025,2,1505500.0,43545.0
130152713.0,REALTOR,2025,2,1619622.0,45349.416
130719350.0,NON-REALTOR,2024,1,490000.0,14700.0
131674315.0,REALTOR,2024,1,657950.0,18422.600000000002
131849838.0,REALTOR,2024,1,559500.0,16785.0
131849838.0,REALTOR,2025,2,1695000.0,49100.0
132069160.0,REALTOR,2025,1,735000.0,20580.0
132070098.0,NON-REALTOR,2024,1,965000.0,27020.0
133866156.0,REALTOR,2024,1,350000.0,9800.0
133866774.0,NON-REALTOR,2025,2,1437000.0,41710.0
133869135.0,REALTOR,2024,3,2263500.0,64878.0
133869135.0,REALTOR,2025,2,1458000.0,42256.0
133870015.0,REALTOR,2024,2,1185900.0,34577.2
133870015.0,REALTOR,2025,1,1205000.0,33740.0
134266377.0,REALTOR,2024,7,7178500.0,206730.0
134266377.0,REALTOR,2025,3,1910000.0,56000.0
134266740.0,REALTOR,2024,2,1045000.0,30070.0
134266740.0,REALTOR,2025,1,654255.0,18319.14
134661716.0,REALTOR,2024,1,2000000.0,56000.0
134853047.0,REALTOR,2024,2,623000.0,18067.0
134861179.0,REALTOR,2024,1,2900000.0,81200.0
134861179.0,REALTOR,2025,1,1221000.0,36630.0
134861187.0,NON-REALTOR,2025,2,1954900.0,56477.0
134864048.0,REALTOR,2024,1,877000.0,26310.0
135435966.0,REALTOR,2025,1,445000.0,12460.0
135436033.0,REALTOR,2024,8,2993495.0,89804.85
135436033.0,REALTOR,2025,7,2185400.0,65302.0
135437960.0,REALTOR,2024,3,5517500.0,158865.0
135438866.0,REALTOR,2024,2,998000.0,29940.0
135438866.0,REALTOR,2025,3,1719000.0,51570.0
135439205.0,REALTOR,2024,12,11350000.0,338230.0
135439205.0,REALTOR,2025,4,3777750.0,113332.5
135439423.0,REALTOR,2024,1,850000.0,25500.0
135439423.0,REALTOR,2025,1,1000000.0,28000.0
135439890.0,REALTOR,2024,2,1080000.0,31320.0
135439974.0,REALTOR,2024,1,955000.0,26740.0
135439974.0,REALTOR,2025,2,690000.0,20010.0
136011625.0,REALTOR,2025,1,938000.0,28140.0
137840955.0,REALTOR,2024,2,1032500.0,30975.0
137840955.0,REALTOR,2025,1,510000.0,15300.0
137842243.0,REALTOR,2025,1,639500.0,17906.0
137848636.0,NON-REALTOR,2024,3,1252500.0,36125.0
137848636.0,NON-REALTOR,2025,1,310000.0,9300.0
137849272.0,REALTOR,2024,2,1079000.0,32370.0
138027538.0,REALTOR,2024,2,1445000.0,42230.0
138027538.0,REALTOR,2025,3,1797000.0,51836.0
138597290.0,REALTOR,2024,3,2343500.0,68965.0
139187812.0,REALTOR,2025,1,3300000.0,99000.0
139188248.0,REALTOR,2024,1,520000.0,14560.0
139188248.0,REALTOR,2025,1,635000.0,19050.0
139188362.0,REALTOR,2024,11,1379150.0,41179.5
139188362.0,REALTOR,2025,3,95500.0,2865.0
139190777.0,REALTOR,2024,1,675000.0,20250.0
139190777.0,REALTOR,2025,1,770000.0,21560.0
139193116.0,REALTOR,2025,1,355000.0,10650.0
139196893.0,REALTOR,2025,1,665000.0,19950.0
139775823.0,REALTOR,2024,2,2250000.0,67500.0
139775823.0,REALTOR,2025,3,3335000.0,96255.0
139777064.0,REALTOR,2024,1,365000.0,10220.0
139777064.0,REALTOR,2025,1,545000.0,15260.0
140537802.0,REALTOR,2024,1,583000.0,17490.0
140537844.0,REALTOR,2024,2,1185000.0,33180.0
140537844.0,REALTOR,2025,2,942000.0,27230.0
140538430.0,REALTOR,2024,2,6915000.0,195050.0
140538430.0,REALTOR,2025,1,684000.0,19152.0
142479258.0,NON-REALTOR,2024,1,427000.0,12810.0
142479258.0,NON-REALTOR,2025,1,570999.0,15987.972
142482638.0,REALTOR,2024,7,6754000.0,189782.0
142482638.0,REALTOR,2025,5,6567000.0,197010.0
142485573.0,REALTOR,2025,2,725215.0,20306.02
142900114.0,NON-REALTOR,2024,1,510000.0,14280.0
143138353.0,REALTOR,2024,1,500000.0,14000.0
143138353.0,REALTOR,2025,1,495000.0,14850.0
143138458.0,REALTOR,2024,1,185000.0,5180.0
143138458.0,REALTOR,2025,1,725000.0,20300.0
143138774.0,REALTOR,2024,1,534900.0,14977.2
143143823.0,REALTOR,2024,4,2589000.0,74962.0
143143823.0,REALTOR,2025,7,5539400.0,159748.2
143149104.0,NON-REALTOR,2025,1,527900.0,14781.2
143919463.0,REALTOR,2025,1,870000.0,26100.0
143921044.0,NON-REALTOR,2024,1,400000.0,11200.0
143921044.0,NON-REALTOR,2025,1,549900.0,15397.2
144572617.0,REALTOR,2024,8,6064300.0,181929.0
144572617.0,REALTOR,2025,1,490000.0,14700.0
144572825.0,REALTOR,2024,5,1072500.0,31935.0
144572825.0,REALTOR,2025,3,725500.0,21666.0
145567209.0,REALTOR,2024,1,374900.0,10497.2
145567209.0,REALTOR,2025,2,1431500.0,41605.0
148448844.0,NON-REALTOR,2024,2,5285000.0,153580.0
148448844.0,NON-REALTOR,2025,1,675000.0,20250.0
149110599.0,REALTOR,2024,1,620000.0,17360.0
