AgentType,ActivitySegment,AgentCount,TotalSalesVolume,AvgSalesVolumePerAgent
NON-REALTOR,0-1,10617,6364879469.0,599498.8668173684
NON-REALTOR,2-5,9794,15833584874.0,1616661.718807433
NON-REALTOR,6-12,2751,11661687233.19,4239072.058593239
NON-REALTOR,13-30,879,8166666693.0,9290860.85665529
NON-REALTOR,31-50,94,1618474938.0,17217818.489361703
NON-REALTOR,51+,103,26739569783.08,259607473.62213594
REALTOR,0-1,15720,9547935217.0,607375.0138040712
REALTOR,2-5,27130,51212889987.14,1887684.8502447475
REALTOR,6-12,17834,89700621346.19,5029753.355735674
REALTOR,13-30,10673,118039629321.1,11059648.582507262
REALTOR,31-50,1595,34234976256.99,21463934.957360502
REALTOR,51+,806,40261198835.59,49951859.597506195
