AgentType,VolumeSegment,AgentCount,TotalAgents,Percentage
NON-REALTOR,<$1M,12365,24238,51.014935225678684
NON-REALTOR,$1-5M,10550,24238,43.526693621585935
NON-REALTOR,$6-10M,870,24238,3.5894050664246224
NON-REALTOR,$11-15M,229,24238,0.9447974255301592
NON-REALTOR,$16-20M,63,24238,0.25992243584454167
NON-REALTOR,>$20M,161,24238,0.6642462249360508
REALTOR,<$1M,19844,73758,26.904200222348763
REALTOR,$1-5M,37368,73758,50.662978931099
REALTOR,$6-10M,9685,73758,13.130779034138671
REALTOR,$11-15M,3430,73758,4.6503430136391986
REALTOR,$16-20M,1258,73758,1.7055777000460965
REALTOR,>$20M,2173,73758,2.9461210987282738
